,Searched,City,State,Lat,Lng,Restaurant,Category,Transactions,Category 1,Category 2,Category 3,Vegan Options
14836,"Upper Arlington city, Ohio",Columbus,OH,39.989312,-83.054346,Jimmy V's Grill & Pub Grandview,"['Greek', 'Mediterranean', 'Pubs']","['delivery', 'pickup']",Greek,Mediterranean,Pubs,False
14837,"Upper Arlington city, Ohio",Columbus,OH,39.9961399,-83.02689,CoreLife Eatery,"['Salad', 'Gluten-Free', 'Coffee & Tea']",['delivery'],Salad,Gluten-Free,Coffee & Tea,False
14838,"Upper Arlington city, Ohio",Columbus,OH,39.9916703,-83.026637,Zoup!,"['Salad', 'Soup', 'Sandwiches']","['delivery', 'pickup']",Salad,Soup,Sandwiches,False
14839,"Upper Arlington city, Ohio",Columbus,OH,40.0653694164736,-83.0719596286912,Cafe Elena,"['Cafes', 'Breakfast & Brunch', 'Desserts']","['delivery', 'pickup']",Cafes,Breakfast & Brunch,Desserts,False
14840,"Upper Arlington city, Ohio",Columbus,OH,40.0565163931238,-83.0201102793217,Ritzy's Clintonville,"['Burgers', 'Ice Cream & Frozen Yogurt']","['delivery', 'pickup']",Burgers,Ice Cream & Frozen Yogurt,,False
14841,"Upper Arlington city, Ohio",Columbus,OH,39.9888751443885,-83.0518685728373,QDOBA Mexican Eats,"['Mexican', 'Fast Food']",['delivery'],Mexican,Fast Food,,False
14842,"Upper Arlington city, Ohio",Columbus,OH,39.98871,-83.0131,Stauf’s Coffee,"['Coffee Roasteries', 'Coffee & Tea']",[],Coffee Roasteries,Coffee & Tea,,False
14843,"Upper Arlington city, Ohio",Upper Arlington,OH,40.0533209155892,-83.0663944209277,Noodles & Company,"['Salad', 'Noodles', 'Pasta Shops']",[],Salad,Noodles,Pasta Shops,False
14844,"Upper Arlington city, Ohio",Upper Arlington,OH,40.052597,-83.0670547,Marco's Pizza,['Pizza'],"['delivery', 'pickup']",Pizza,,,False
14845,"Upper Arlington city, Ohio",Columbus,OH,40.053322959515,-83.0695483217515,Great Harvest Bread,['Bakeries'],[],Bakeries,,,False
14846,"Upper Arlington city, Ohio",Columbus,OH,39.9863500347786,-83.0055216598805,BrewDog Short North,['Bars'],['delivery'],Bars,,,False
14847,"Upper Arlington city, Ohio",Columbus,OH,39.96371,-82.99891,Due Amici,"['Italian', 'Venues & Event Spaces', 'Wine Bars']",['delivery'],Italian,Venues & Event Spaces,Wine Bars,False
14848,"Upper Arlington city, Ohio",Columbus,OH,40.021573,-83.025651,Skyline Chili,"['Fast Food', 'Hot Dogs']",['delivery'],Fast Food,Hot Dogs,,False
14849,"Upper Arlington city, Ohio",Columbus,OH,40.08366,-83.05225,Godown Dog Park,['Dog Parks'],[],Dog Parks,,,False
14850,"Upper Arlington city, Ohio",Columbus,OH,39.987647,-83.030348,Explorers Club,"['Latin American', 'Food Trucks']",[],Latin American,Food Trucks,,False
14851,"Upper Arlington city, Ohio",Columbus,OH,39.9634455,-83.0013107,Veritas,"['Cocktail Bars', 'American (Traditional)', 'Chicken Wings']",['delivery'],Cocktail Bars,American (Traditional),Chicken Wings,False
14852,"Upper Arlington city, Ohio",Columbus,OH,40.00663,-83.01646,Rush Bowls,"['Acai Bowls', 'Juice Bars & Smoothies', 'Breakfast & Brunch']","['delivery', 'pickup']",Acai Bowls,Juice Bars & Smoothies,Breakfast & Brunch,False
14853,"Upper Arlington city, Ohio",Columbus,OH,39.9867777315811,-83.0022188445831,Zaftig Brew Pub,"['Brewpubs', 'American (Traditional)', 'Breakfast & Brunch']","['delivery', 'pickup']",Brewpubs,American (Traditional),Breakfast & Brunch,False
14854,"Upper Arlington city, Ohio",Columbus,OH,40.01631,-83.01201,Sushi Time,"['Sushi Bars', 'Japanese']","['delivery', 'pickup']",Sushi Bars,Japanese,,False
14855,"Upper Arlington city, Ohio",Columbus,OH,39.997014,-83.07442,Eastern Bay,"['Chinese', 'Buffets']","['delivery', 'pickup']",Chinese,Buffets,,False
14856,"Upper Arlington city, Ohio",Hilliard,OH,40.028855,-83.115211,Pulp Juice And Smoothie Bar,"['Juice Bars & Smoothies', 'Salad', 'Wraps']",['delivery'],Juice Bars & Smoothies,Salad,Wraps,False
14857,"Upper Arlington city, Ohio",Hilliard,OH,40.03441,-83.11891,Carrabba's Italian Grill,"['Italian', 'Seafood']","['delivery', 'pickup']",Italian,Seafood,,False
14858,"Upper Arlington city, Ohio",Hilliard,OH,40.0370530687988,-83.1318175792694,The Goat Hilliard,"['Bars', 'American (Traditional)']",['delivery'],Bars,American (Traditional),,False
14859,"Upper Arlington city, Ohio",Columbus,OH,39.96408,-82.9979199,Poke Bros,"['Poke', 'Hawaiian']","['delivery', 'pickup']",Poke,Hawaiian,,False
14860,"Upper Arlington city, Ohio",Hilliard,OH,40.03167,-83.13527,Louie's Grill,"['Cuban', 'Cajun/Creole', 'Tex-Mex']",['delivery'],Cuban,Cajun/Creole,Tex-Mex,False
14861,"Upper Arlington city, Ohio",Columbus,OH,39.97085,-83.00364,Kooma sushi Restaurant,"['Japanese', 'Sushi Bars', 'Korean']",['delivery'],Japanese,Sushi Bars,Korean,False
14862,"Upper Arlington city, Ohio",Dublin,OH,40.07088,-83.1193399,Yoshi's Japanese Restaurant,"['Japanese', 'Sushi Bars']",['delivery'],Japanese,Sushi Bars,,False
14863,"Upper Arlington city, Ohio",Columbus,OH,40.0677596898834,-83.1092762947083,Hayden Falls Park,['Parks'],[],Parks,,,False
14864,"Upper Arlington city, Ohio",Dublin,OH,40.073468,-83.122654,Choripan,"['Argentine', 'Specialty Food']","['delivery', 'pickup']",Argentine,Specialty Food,,False
14865,"Upper Arlington city, Ohio",Columbus,OH,40.0639156,-83.0595724,Golden Delight Bakery,"['Bakeries', 'Custom Cakes']",['delivery'],Bakeries,Custom Cakes,,False
